DT,ruo,vol,T,C,MinRate,Percentile25,Percentile75,MaxRate,StatusXML,DateUpdate
3/9/2021,4.3500,92.2000,30,22,3.90,4.05,4.50,4.65,0,3/10/2021
3/5/2021,4.0400,123.1000,34,23,3.30,3.85,4.10,4.15,0,3/9/2021
3/4/2021,4.0700,104.9500,34,20,3.85,4.00,4.10,4.15,0,3/5/2021
3/3/2021,4.0600,146.0500,41,25,3.90,4.00,4.10,4.25,0,3/4/2021
3/2/2021,4.0100,161.4000,38,22,3.75,4.00,4.05,4.20,0,3/3/2021
3/1/2021,4.0600,106.4500,31,20,4.00,4.00,4.10,4.20,0,3/2/2021
2/26/2021,4.1800,137.2500,30,22,4.00,4.15,4.25,4.40,0,3/1/2021
2/25/2021,4.1600,135.1500,39,22,3.90,4.10,4.20,4.30,0,2/26/2021
2/24/2021,4.0600,137.2300,41,25,3.65,3.95,4.15,4.25,0,2/25/2021
2/20/2021,4.0600,104.4500,44,23,3.90,4.00,4.10,4.20,0,2/24/2021
2/19/2021,4.0200,75.2500,28,20,3.90,4.00,4.10,4.15,0,2/20/2021
2/18/2021,4.0500,61.1000,23,18,4.00,4.01,4.10,4.15,0,2/19/2021
2/17/2021,4.0000,72.0300,26,18,3.80,4.00,4.05,4.20,0,2/18/2021
2/16/2021,3.9100,153.2000,41,24,3.65,3.80,4.00,4.10,0,2/17/2021
2/15/2021,3.9400,134.5000,35,22,3.50,3.90,4.00,4.15,0,2/16/2021
2/12/2021,4.0000,92.4500,34,22,3.80,3.90,4.10,4.15,0,2/15/2021
2/11/2021,4.0200,90.8500,28,22,3.75,4.00,4.10,4.20,0,2/12/2021
2/10/2021,4.0900,58.2000,23,20,3.70,4.05,4.15,4.25,0,2/11/2021
2/9/2021,4.1600,83.4000,26,22,3.75,4.00,4.50,4.70,0,2/10/2021
2/8/2021,3.2800,49.6000,16,16,3.20,3.24,3.64,3.95,0,2/9/2021
2/5/2021,3.7300,113.1500,24,17,3.40,3.59,3.93,4.05,0,2/8/2021
2/4/2021,4.0000,68.5000,19,15,4.00,4.00,4.10,4.20,0,2/5/2021
2/3/2021,4.0000,85.6500,23,18,3.80,4.00,4.10,4.20,0,2/4/2021
2/2/2021,4.1000,138.7500,36,23,3.70,4.00,4.20,4.30,0,2/3/2021
2/1/2021,4.2300,161.9000,40,25,3.90,4.19,4.25,4.35,0,2/2/2021
1/29/2021,4.4300,167.8500,35,21,4.15,4.25,4.50,4.75,0,2/1/2021
1/28/2021,4.2700,114.4300,28,23,4.00,4.25,4.26,4.35,0,1/29/2021
1/27/2021,4.2500,155.4000,38,25,3.90,4.25,4.25,4.35,0,1/28/2021
1/26/2021,4.3500,200.9000,38,26,3.90,4.25,4.40,4.40,0,1/27/2021
1/25/2021,4.2700,165.1500,35,23,3.90,4.25,4.30,4.40,0,1/26/2021
1/22/2021,4.2700,194.9500,46,23,3.90,4.25,4.35,4.40,0,1/25/2021
1/21/2021,4.3500,170.4000,34,21,4.10,4.25,4.40,4.40,0,1/22/2021
1/20/2021,4.3100,161.0000,35,23,4.00,4.25,4.30,4.45,0,1/21/2021
1/19/2021,4.3000,94.9000,26,22,4.05,4.25,4.35,4.40,0,1/20/2021
1/18/2021,4.3000,196.3000,38,20,4.20,4.25,4.35,4.35,0,1/19/2021
1/15/2021,4.2500,118.2500,30,21,4.15,4.25,4.30,4.40,0,1/18/2021
1/14/2021,4.2400,153.4000,34,22,4.15,4.20,4.25,4.40,0,1/15/2021
1/13/2021,4.2300,146.4500,41,25,3.80,4.20,4.25,4.30,0,1/14/2021
1/12/2021,4.1800,320.5000,73,25,4.00,4.15,4.20,5.00,0,1/13/2021
1/11/2021,4.2700,313.8000,59,23,4.10,4.25,4.30,4.35,0,1/12/2021
